Google_name,Bloverse_name
/Science,Science
/Science/Astronomy,Science
/Science/Biological Sciences,Science
/Science/Biological Sciences/Neuroscience,Science
/Science/Chemistry,Science
/Science/Computer Science,Science
/Science/Earth Sciences,Science
/Science/Earth Sciences/Atmospheric Science,Science
/Science/Earth Sciences/Geology,Science
/Science/Ecology & Environment,Science
/Science/Ecology & Environment/Climate Change & Global Warming,Science
/Science/Engineering & Technology,Science
/Science/Engineering & Technology/Robotics,Science
/Science/Mathematics,Science
/Science/Mathematics/Statistics,Science
/Food,Food
/Business & Industrial/Hospitality Industry/Food Service,Business
/Pets & Animals/Animal Products & Services/Pet Food & Supplies,Wildlife and Nature
/Food & Drink,Food
/Food & Drink/Beverages,Food
/Food & Drink/Beverages/Alcoholic Beverages,Food
/Food & Drink/Beverages/Coffee & Tea,Food
/Food & Drink/Beverages/Juic,Food
/Food & Drink/Beverages/Soft Drinks,Food
/Food & Drink/Cooking & Recipes,Food
/Food & Drink/Cooking & Recipes/BBQ & Grilling,Food
/Food & Drink/Cooking & Recipes/Desserts,Food
/Food & Drink/Cooking & Recipes/Soups & Stews,Food
/Food & Drink/Food & Grocery Retailers,Food
/Food & Drink/Food/Baked Goods,Food
/Food & Drink/Food/Breakfast Foods,Food
/Food & Drink/Food/Candy & Sweets,Food
/Food & Drink/Food/Grains & Pasta,Food
/Food & Drink/Food/Meat & Seafood,Food
/Food & Drink/Food/Snack Foods,Food
/Food & Drink/Restaurants,Food
/Food & Drink/Restaurants/Fast Food,Food
/Food & Drink/Restaurants/Pizzerias,Food
/Food & Drink/Restaurants/Restaurant Reviews & Reservations,Food
/Sports,Sports
/Sports/Animal Sports,Sports
/Sports/College Sports,Sports
/Sports/Combat Sports,Sports
/Sports/Combat Sports/Boxing,Sports
/Sports/Combat Sports/Martial Arts,Sports
/Sports/Combat Sports/Wrestling,Sports
/Sports/Extreme Sports,Sports
/Sports/Extreme Sports/Drag & Street Racing,Sports
/Sports/Fantasy Sports,Sports
/Sports/Individual Sports,Sports
/Sports/Individual Sports/Cycling,Sports
/Sports/Individual Sports/Golf,Sports
/Sports/Individual Sports/Gymnastics,Sports
/Sports/Individual Sports/Racquet Sports,Sports
/Sports/Individual Sports/Skate Sports,Sports
/Sports/Individual Sports/Track & Field,Sports
/Sports/International Sports Competitions,Sports
/Sports/International Sports Competitions/Olympics,Sports
/Sports/Motor Sports,Sports
/Sports/Sporting Goods,Sports
/Sports/Sporting Goods/Sports Memorabilia,Sports
/Sports/Sporting Goods/Winter Sports Equipment,Sports
/Sports/Sports Coaching & Training,Sports
/Sports/Team Sports,Sports
/Sports/Team Sports/American Football,Sports
/Sports/Team Sports/Australian Football,Sports
/Sports/Team Sports/Baseball,Sports
/Sports/Team Sports/Basketball,Sports
/Sports/Team Sports/Cheerleading,Sports
/Sports/Team Sports/Cricket,Sports
/Sports/Team Sports/Hockey,Sports
/Sports/Team Sports/Rugby,Sports
/Sports/Team Sports/Soccer,Sports
/Sports/Team Sports/Volleyball,Sports
/Sports/Water Sports,Sports
/Sports/Water Sports/Surfing,Sports
/Sports/Water Sports/Swimming,Sports
/Sports/Winter Sports,Sports
/Sports/Winter Sports/Ice Skating,Sports
/Sports/Winter Sports/Skiing & Snowboarding,Sports
/Arts & Entertainment,Entertainment
/Arts & Entertainment/Celebrities & Entertainment News,Entertainment
/Arts & Entertainment/Comics & Animation,Entertainment
/Arts & Entertainment/Comics & Animation/Anime & Manga,Entertainment
/Arts & Entertainment/Comics & Animation/Cartoon,Entertainment
/Arts & Entertainment/Comics & Animation/Comics,Entertainment
/Arts & Entertainment/Entertainment Industry,Entertainment
/Arts & Entertainment/Entertainment Industry/Film & TV Industry,Entertainment
/Arts & Entertainment/Entertainment Industry/Recording Industry,Entertainment
/Arts & Entertainment/Events & Listings,Entertainment
"/Arts & Entertainment/Events & Listings/Bars, Clubs & Nightlife",Entertainment
/Arts & Entertainment/Events & Listings/Concerts & Music Festivals,Entertainment
/Arts & Entertainment/Events & Listings/Expos & Conventions,Entertainment
/Arts & Entertainment/Events & Listings/Film Festivals,Entertainment
/Arts & Entertainment/Events & Listings/Movie Listings & Theater Showtimes,Entertainment
/Arts & Entertainment/Fun & Trivia	/Hobbies & Leisure/Water Activities/Boating,Entertainment
/Arts & Entertainment/Fun & Trivia/Flash-Based Entertainment,Entertainment
/Arts & Entertainment/Fun & Trivia/Fun Tests & Silly Surveys,Entertainment
/Arts & Entertainment/Humor,Entertainment
/Arts & Entertainment/Humor/Funny Pictures & Videos,Entertainment
/Arts & Entertainment/Humor/Political Humor,Entertainment
/Arts & Entertainment/Movies,Entertainment
/Arts & Entertainment/Music & Audio,Entertainment
/Arts & Entertainment/Music & Audio/CD & Audio Shopping,Entertainment
/Arts & Entertainment/Music & Audio/Classical Music,Entertainment
/Arts & Entertainment/Music & Audio/Country Music,Entertainment
/Arts & Entertainment/Music & Audio/Dance & Electronic Music,Entertainment
/Arts & Entertainment/Music & Audio/Experimental & Industrial Music,Entertainment
/Arts & Entertainment/Music & Audio/Jazz & Blues,Entertainment
/Arts & Entertainment/Music & Audio/Music Education & Instruction,Entertainment
/Arts & Entertainment/Music & Audio/Music Equipment & Technology,Entertainment
/Arts & Entertainment/Music & Audio/Music Reference,Entertainment
/Arts & Entertainment/Music & Audio/Music Streams & Downloads,Entertainment
/Arts & Entertainment/Music & Audio/Music Videos,Entertainment
/Arts & Entertainment/Music & Audio/Pop Music,Entertainment
/Arts & Entertainment/Music & Audio/Radio,Entertainment
/Arts & Entertainment/Music & Audio/Religious Music,Entertainment
/Arts & Entertainment/Music & Audio/Rock Music,Entertainment
/Arts & Entertainment/Music & Audio/Soundtracks,Entertainment
/Arts & Entertainment/Music & Audio/Urban & Hip-Hop,Entertainment
/Arts & Entertainment/Music & Audio/World Music,Entertainment
/Arts & Entertainment/Offbeat,Entertainment
/Arts & Entertainment/Offbeat/Occult & Paranormal,Entertainment
/Arts & Entertainment/Online Media,Entertainment
/Arts & Entertainment/Online Media/Online Image Gallerie,Entertainment
/Arts & Entertainment/Performing Art,Entertainment
/Arts & Entertainment/Performing Arts/Acting & Theater,Entertainment
/Arts & Entertainment/Performing Arts/Circus,Entertainment
/Arts & Entertainment/Performing Arts/Dance,Entertainment
/Arts & Entertainment/Performing Arts/Magic,Entertainment
